date,ticker,avg_sentiment,tweet_count
09/07/2020,TSLA,0.045899999999999996,24
09/07/2020,V,0.4404,1
09/08/2020,AAPL,0.48324999999999996,2
09/09/2020,AAPL,0.23774375,16
09/09/2020,BA,0.0,1
09/09/2020,CCL,0.0,1
09/09/2020,MCD,0.0,1
09/09/2020,NFLX,-0.0772,1
09/09/2020,NVDA,-0.25,1
09/09/2020,TSLA,0.10710000000000001,49
09/10/2020,AAPL,0.021574999999999993,4
09/10/2020,BA,0.0,4
09/10/2020,MSFT,0.7906,1
09/10/2020,NVDA,0.0,1
09/10/2020,PFE,0.5984,1
09/10/2020,TSLA,0.02614545454545455,11
09/11/2020,AAPL,-0.09271111111111112,9
09/11/2020,AMZN,0.1806,2
09/11/2020,BA,-0.2787,2
09/11/2020,BABA,0.3182,1
09/11/2020,CCL,0.7717,1
09/11/2020,PFE,0.2732,1
09/12/2020,AAPL,-0.023619999999999995,5
09/12/2020,ABNB,-0.4404,1
09/12/2020,AMZN,-0.42772499999999997,4
09/12/2020,BA,-0.7778,1
09/12/2020,BABA,-0.4215,1
09/12/2020,CCL,0.15746666666666667,3
09/12/2020,DIS,0.3572,2
09/12/2020,FB,-0.15711999999999998,5
09/12/2020,PFE,0.05595333333333333,15
09/12/2020,TSLA,0.12455121951219512,41
10/01/2020,AAPL,0.426825,4
10/01/2020,AMZN,0.0387,1
10/01/2020,BA,0.07253333333333332,6
10/01/2020,BABA,0.148,2
10/01/2020,DIS,0.0,1
10/01/2020,NFLX,0.5719,1
10/01/2020,NVDA,0.6369,1
10/01/2020,TSLA,0.22135,14
10/02/2020,AAPL,-0.2986,3
10/02/2020,AMZN,0.6176,1
10/02/2020,BA,0.0,1
10/02/2020,MSFT,0.0772,1
10/02/2020,NVDA,0.7269,1
10/02/2020,TSLA,0.317,3
10/02/2020,TSM,0.4588,1
10/03/2020,AAPL,-0.12801428571428572,7
10/03/2020,AMZN,-0.17681666666666665,6
10/03/2020,BA,0.0,1
10/03/2020,BABA,-0.22319999999999998,3
10/03/2020,BAC,0.296,1
10/03/2020,CCL,-0.27275,8
10/03/2020,DIS,0.17841666666666667,6
10/03/2020,GOOG,-0.6108,1
10/03/2020,MSFT,0.4215,1
10/03/2020,TSLA,0.16841818181818183,11
10/03/2020,V,0.44094999999999995,2
10/04/2020,BA,0.6369,1
10/06/2020,AAPL,0.3182,1
10/06/2020,AMZN,0.5719,1
10/06/2020,BA,0.30456666666666665,6
10/06/2020,BRK.B,0.2755,1
10/06/2020,CCL,0.1468,3
10/06/2020,JPM,-0.5994,1
10/06/2020,MSFT,0.1468,3
10/06/2020,TSLA,0.1782090909090909,11
10/06/2020,XOM,0.0,1
10/07/2020,AMZN,0.0,3
