,AAPL
2018-05-31,44.029510498046875
2018-06-01,44.82353591918945
2018-06-04,45.19814682006836
2018-06-05,45.546875
2018-06-06,45.7047233581543
2018-06-07,45.582210540771484
2018-06-08,45.16752624511719
2018-06-11,45.056785583496094
2018-06-12,45.3041877746582
2018-06-13,44.93190383911133
2018-06-14,44.95547866821289
2018-06-15,44.49366760253906
2018-06-18,44.47011184692383
2018-06-19,43.7514762878418
2018-06-20,43.942317962646484
2018-06-21,43.697288513183594
2018-06-22,43.57004165649414
2018-06-25,42.92210388183594
2018-06-26,43.454593658447266
2018-06-27,43.3909912109375
2018-06-28,43.70670700073242
2018-06-29,43.61482238769531
2018-07-02,44.102542877197266
2018-07-03,43.33443069458008
2018-07-05,43.68314743041992
2018-07-06,44.28867721557617
2018-07-09,44.90363311767578
2018-07-10,44.849456787109375
2018-07-11,44.26747512817383
2018-07-12,45.00966262817383
2018-07-13,45.080352783203125
2018-07-16,44.981388092041016
2018-07-17,45.10862350463867
2018-07-18,44.86122512817383
2018-07-19,45.209930419921875
2018-07-20,45.10626220703125
2018-07-23,45.14632034301758
2018-07-24,45.47382736206055
2018-07-25,45.902652740478516
2018-07-26,45.75891876220703
2018-07-27,44.997886657714844
2018-07-30,44.74577331542969
2018-07-31,44.83531188964844
2018-08-01,47.47657012939453
2018-08-02,48.86433410644531
2018-08-03,49.005706787109375
2018-08-06,49.260169982910156
2018-08-07,48.798362731933594
2018-08-08,48.83134460449219
2018-08-09,49.21540069580078
2018-08-10,49.06880569458008
2018-08-13,49.38563537597656
2018-08-14,49.593719482421875
2018-08-15,49.709564208984375
2018-08-16,50.43782043457031
2018-08-17,51.445064544677734
2018-08-20,50.94380187988281
2018-08-21,50.84449005126953
2018-08-22,50.84685516357422
2018-08-23,50.95088577270508
2018-08-24,51.10930252075195
2018-08-27,51.530174255371094
2018-08-28,51.94631576538086
2018-08-29,52.721839904785156
2018-08-30,53.20655059814453
2018-08-31,53.82130432128906
2018-09-04,53.99390411376953
2018-09-05,53.641605377197266
2018-09-06,52.750205993652344
2018-09-07,52.32461166381836
2018-09-10,51.62239074707031
2018-09-11,52.92753982543945
2018-09-12,52.27023696899414
2018-09-13,53.532840728759766
2018-09-14,52.925174713134766
2018-09-17,51.5159797668457
2018-09-18,51.601097106933594
2018-09-19,51.63185501098633
2018-09-20,52.02433395385742
2018-09-21,51.463966369628906
2018-09-24,52.20402526855469
2018-09-25,52.53505325317383
2018-09-26,52.11655044555664
2018-09-27,53.187625885009766
2018-09-28,53.37442398071289
2018-10-01,53.73380661010742
2018-10-02,54.2114143371582
2018-10-03,54.871097564697266
2018-10-04,53.90640640258789
2018-10-05,53.03158187866211
2018-10-08,52.908634185791016
2018-10-09,53.641605377197266
2018-10-10,51.15658950805664
2018-10-11,50.70499038696289
2018-10-12,52.51613998413086
2018-10-15,51.39303970336914
2018-10-16,52.525596618652344
2018-10-17,52.29861831665039
2018-10-18,51.076194763183594
2018-10-19,51.854103088378906
2018-10-22,52.170936584472656
2018-10-23,52.66272735595703
2018-10-24,50.856300354003906
2018-10-25,51.96995544433594
2018-10-26,51.142417907714844
2018-10-29,50.18244934082031
2018-10-30,50.43307876586914
2018-10-31,51.74770736694336
2018-11-01,52.542152404785156
2018-11-02,49.05699920654297
2018-11-05,47.664344787597656
2018-11-06,48.17979431152344
2018-11-07,49.6410026550293
2018-11-08,49.467796325683594
2018-11-09,48.51398468017578
2018-11-12,46.07013702392578
2018-11-13,45.60982131958008
2018-11-14,44.32147979736328
2018-11-15,45.4152717590332
2018-11-16,45.91828155517578
2018-11-19,44.09844207763672
2018-11-20,41.99151611328125
2018-11-21,41.94405746459961
2018-11-23,40.87873458862305
2018-11-26,41.431556701660156
2018-11-27,41.341407775878906
2018-11-28,42.93110275268555
2018-11-29,42.60129165649414
2018-11-30,42.37113571166992
2018-12-03,43.85169219970703
2018-12-04,41.92271041870117
2018-12-06,41.45528793334961
2018-12-07,39.97711944580078
2018-12-10,40.240482330322266
2018-12-11,40.01034164428711
2018-12-12,40.12185287475586
